,Year,Province_of_Study,Dguid,Levelofstudy,Statistics,Unit_of_measure,Value,Percent
0,2000,Canada,2016A000011124,College,Number of graduates,Number,101400.0,0.0
1,2000,Canada,2016A000011124,College,Females,Percent,57.0,0.0
2,2000,Canada,2016A000011124,College,Average age at graduation,Years,27.0,0.0
3,2000,Canada,2016A000011124,College,Median age at graduation,Years,23.0,0.0
4,2000,Canada,2016A000011124,College,Under age 25 at graduation,Percent,59.0,0.0
5,2000,Canada,2016A000011124,College,Pursued further postsecondary education between graduation and time of interview,Percent,26.0,0.0
6,2000,Canada,2016A000011124,Bachelor's,Number of graduates,Number,132600.0,0.0
7,2000,Canada,2016A000011124,Bachelor's,Females,Percent,61.0,0.0
8,2000,Canada,2016A000011124,Bachelor's,Average age at graduation,Years,26.0,0.0
9,2000,Canada,2016A000011124,Bachelor's,Median age at graduation,Years,23.0,0.0
10,2000,Canada,2016A000011124,Bachelor's,Under age 25 at graduation,Percent,63.0,0.0
11,2000,Canada,2016A000011124,Bachelor's,Pursued further postsecondary education between graduation and time of interview,Percent,41.0,0.0
12,2000,Canada,2016A000011124,Master's,Number of graduates,Number,29200.0,0.0
13,2000,Canada,2016A000011124,Master's,Females,Percent,58.0,0.0
14,2000,Canada,2016A000011124,Master's,Average age at graduation,Years,32.0,0.0
15,2000,Canada,2016A000011124,Master's,Median age at graduation,Years,29.0,0.0
16,2000,Canada,2016A000011124,Master's,Under age 25 at graduation,Percent,17.0,0.0
17,2000,Canada,2016A000011124,Master's,Pursued further postsecondary education between graduation and time of interview,Percent,28.0,0.0
18,2000,Canada,2016A000011124,Doctorate,Number of graduates,Number,4200.0,0.0
19,2000,Canada,2016A000011124,Doctorate,Females,Percent,43.0,0.0
20,2000,Canada,2016A000011124,Doctorate,Average age at graduation,Years,35.0,0.0
21,2000,Canada,2016A000011124,Doctorate,Median age at graduation,Years,33.0,0.0
22,2000,Canada,2016A000011124,Doctorate,Under age 25 at graduation,Percent,4.0,0.0
23,2000,Canada,2016A000011124,Doctorate,Pursued further postsecondary education between graduation and time of interview,Percent,11.0,0.0
24,2005,Canada,2016A000011124,College,Number of graduates,Number,103900.0,2.465483234714004
25,2005,Canada,2016A000011124,College,Females,Percent,58.0,1.7543859649122806
26,2005,Canada,2016A000011124,College,Average age at graduation,Years,26.0,-3.7037037037037033
27,2005,Canada,2016A000011124,College,Median age at graduation,Years,23.0,0.0
28,2005,Canada,2016A000011124,College,Under age 25 at graduation,Percent,62.0,5.084745762711865
29,2005,Canada,2016A000011124,College,Pursued further postsecondary education between graduation and time of interview,Percent,31.0,19.230769230769234
30,2005,Canada,2016A000011124,Bachelor's,Number of graduates,Number,162300.0,22.39819004524887
31,2005,Canada,2016A000011124,Bachelor's,Females,Percent,63.0,3.278688524590164
32,2005,Canada,2016A000011124,Bachelor's,Average age at graduation,Years,26.0,0.0
33,2005,Canada,2016A000011124,Bachelor's,Median age at graduation,Years,24.0,4.3478260869565215
34,2005,Canada,2016A000011124,Bachelor's,Under age 25 at graduation,Percent,62.0,-1.5873015873015872
35,2005,Canada,2016A000011124,Bachelor's,Pursued further postsecondary education between graduation and time of interview,Percent,42.0,2.4390243902439024
36,2005,Canada,2016A000011124,Master's,Number of graduates,Number,35300.0,20.89041095890411
37,2005,Canada,2016A000011124,Master's,Females,Percent,56.0,-3.4482758620689653
38,2005,Canada,2016A000011124,Master's,Average age at graduation,Years,32.0,0.0
39,2005,Canada,2016A000011124,Master's,Median age at graduation,Years,29.0,0.0
40,2005,Canada,2016A000011124,Master's,Under age 25 at graduation,Percent,14.0,-17.647058823529413
41,2005,Canada,2016A000011124,Master's,Pursued further postsecondary education between graduation and time of interview,Percent,30.0,7.142857142857142
42,2005,Canada,2016A000011124,Doctorate,Number of graduates,Number,3500.0,-16.666666666666664
43,2005,Canada,2016A000011124,Doctorate,Females,Percent,46.0,6.976744186046512
44,2005,Canada,2016A000011124,Doctorate,Average age at graduation,Years,35.0,0.0
45,2005,Canada,2016A000011124,Doctorate,Median age at graduation,Years,33.0,0.0
46,2005,Canada,2016A000011124,Doctorate,Under age 25 at graduation,Percent,0.0,-100.0
47,2005,Canada,2016A000011124,Doctorate,Pursued further postsecondary education between graduation and time of interview,Percent,8.0,-27.27272727272727
48,2010,Canada,2016A000011124,College,Number of graduates,Number,136400.0,31.28007699711261
49,2010,Canada,2016A000011124,College,Females,Percent,56.0,-3.4482758620689653
50,2010,Canada,2016A000011124,College,Average age at graduation,Years,28.0,7.6923076923076925
51,2010,Canada,2016A000011124,College,Median age at graduation,Years,24.0,4.3478260869565215
52,2010,Canada,2016A000011124,College,Under age 25 at graduation,Percent,55.0,-11.29032258064516
53,2010,Canada,2016A000011124,College,Pursued further postsecondary education between graduation and time of interview,Percent,35.0,12.903225806451612
54,2010,Canada,2016A000011124,Bachelor's,Number of graduates,Number,196700.0,21.19531731361676
55,2010,Canada,2016A000011124,Bachelor's,Females,Percent,61.0,-3.1746031746031744
56,2010,Canada,2016A000011124,Bachelor's,Average age at graduation,Years,26.0,0.0
57,2010,Canada,2016A000011124,Bachelor's,Median age at graduation,Years,24.0,0.0
